Day,Date,Flag,County,City,Description,Comments,Food,Travel,Hotel
1,2025-02-25,,United States,Houston,Business class flights,115k points each,,IAH - SIN,
2,2025-02-26,,,,,Still flying,,IAH - SIN,
3,2025-02-27,,Singapore,Singapore,,Arrive @ 8am,,,Heritage Collection on Chinatown
4,2025-02-28,,Singapore,Singapore,Singapore Zoo,,,,Heritage Collection on Chinatown
5,2025-03-01,,Singapore,Singapore,Sentosa Island,,,,Heritage Collection on Chinatown
6,2025-03-02,,Singapore,Singapore,Expo and Orchard Road,,,,Heritage Collection on Chinatown
7,2025-03-03,,Malaysia,Penang,,,,SIN - PEN,Rare Heritage House
8,2025-03-04,,Malaysia,Penang,ESCAPE Penang,,,,Rare Heritage House
9,2025-03-05,,Malaysia,Penang,Penang Hill,,,,Rare Heritage House
10,2025-03-06,,Malaysia,Langkawi,,,,PEN - LGK,Arch Studio Cenang
11,2025-03-07,,Malaysia,Langkawi,Mangrove tour,,,,Arch Studio Cenang
12,2025-03-08,,Malaysia,Langkawi,Skybridge,,,,Arch Studio Cenang
13,2025-03-09,,Malaysia,Kuala Lumpur,,,,LGK - KUL,Holiday Inn Express Kuala Lumpur City Centre
14,2025-03-10,,Malaysia,Kuala Lumpur,,Used Amex Fine Hotels,Yun House @ 7pm,,Four Seasons Hotel Kuala Lumpur
15,2025-03-11,,Malaysia,Kuala Lumpur,KLCC Park,,Sushiro,,PARKROYAL Serviced Suites Kuala Lumpur
16,2025-03-12,,Malaysia,Kuala Lumpur,KL Bird Park,,,,PARKROYAL Serviced Suites Kuala Lumpur
17,2025-03-13,,Malaysia,Genting Highlands,Genting Highlands,Aerobus,,,Resorts World Genting – Genting SkyWorlds Hotel
18,2025-03-14,,Malaysia,Kuala Lumpur,Genting Skyworld,Aerobus,,,Easy Hotel KL Sentral
19,2025-03-15,,Malaysia,Kuala Lumpur,Batu Caves,,,,Easy Hotel KL Sentral
20,2025-03-16,,Malaysia,Kuala Lumpur,,,,,Easy Hotel KL Sentral
21,2025-03-17,,Cambodia,Siem Reap,,,,KUL - SAI,Hotel Somadevi Angkor Resort & Spa
22,2025-03-18,,Cambodia,Siem Reap,Angkor Wat,,,,Hotel Somadevi Angkor Resort & Spa
23,2025-03-19,,Cambodia,Siem Reap,,,,,Hotel Somadevi Angkor Resort & Spa
24,2025-03-20,,Cambodia,Phnom Penh,,,,,SUN & MOON Urban Hotel
25,2025-03-21,,Cambodia,Phnom Penh,S21 and killing fields,,,,SUN & MOON Urban Hotel
26,2025-03-22,,Cambodia,Phnom Penh,,,,,SUN & MOON Urban Hotel
27,2025-03-23,,Thailand,Bangkok,,,,PNH - DMK,iSanook Bangkok
28,2025-03-24,,Thailand,Bangkok,,,,,iSanook Bangkok
29,2025-03-25,,Thailand,Chiang Mai,,,,DMK - CNX,Amora Tapae Hotel
30,2025-03-26,,Thailand,Chiang Mai,,Custom sandals,,,Amora Tapae Hotel
31,2025-03-27,,Thailand,Chiang Mai,Elephant Sanctuary,,,,Amora Tapae Hotel
32,2025-03-28,,Thailand,Chiang Mai,Doi Inthanon National Park,,,,Amora Tapae Hotel
33,2025-03-29,,Thailand,Bangkok,,,,CNX - DMK,Suvarnabhumi Ville Airport Hotel
34,2025-03-30,,Thailand,Koh Samui,,Bus and ferry,,BKK - URT,Le Murraya Resort
35,2025-03-31,,Thailand,Koh Samui,,,,,Le Murraya Resort
36,2025-04-01,,Thailand,Koh Samui,,,,,Le Murraya Resort
37,2025-04-02,,Thailand,Koh Samui,,,,,Le Murraya Resort
38,2025-04-03,,Thailand,Koh Samui,,,,,Le Murraya Resort
39,2025-04-04,,Thailand,Koh Tao,,,,,Ko Tao Resort Paradise Zone
40,2025-04-05,,Thailand,Koh Tao,,,,,Ko Tao Resort Paradise Zone
41,2025-04-06,,Thailand,Koh Tao,Snorkeling tour,,,,Ko Tao Resort Paradise Zone
42,2025-04-07,,Thailand,Koh Tao,,,,,Ko Tao Resort Paradise Zone
43,2025-04-08,,Thailand,Bangkok,,Ferry and bus,,URT- BKK,Rembrandt Hotel Bangkok
44,2025-04-09,,Thailand,Bangkok,,,,,Rembrandt Hotel Bangkok
45,2025-04-10,,Thailand,Bangkok,,,,,Rembrandt Hotel Bangkok
46,2025-04-11,,Thailand,Bangkok,Roof top bar,,,,Rembrandt Hotel Bangkok
47,2025-04-12,,Thailand,Bangkok,Chatuchak Weekend Market,,,,Rembrandt Hotel Bangkok
48,2025-04-13,,Thailand,Bangkok,Songkran,,,,Rembrandt Hotel Bangkok
49,2025-04-14,,Thailand,Bangkok,Songkran,,,,Rembrandt Hotel Bangkok
50,2025-04-15,,Thailand,Bangkok,Songkran,,,,Rembrandt Hotel Bangkok
51,2025-04-16,,Thailand,Bangkok,,,,,Rembrandt Hotel Bangkok
52,2025-04-17,,China,Beijing,,Flight @ 3:15am,,BKK - PEK,XIHE HOTEL
53,2025-04-18,,China,Beijing,Forbidden City,,,,XIHE HOTEL
